"keywords","classes"
"#acqui","Outside_Places"
"#allarmemeteotos","Outside_Places"
"#allertameteoer","Outside_Places"
"#allertameteofvg","Outside_Places"
"#allertameteolaz","Outside_Places"
"#allertameteolom","Outside_Places"
"#allertameteopâ","Outside_Places"
"#allertameteopie","Outside_Places"
"#allertameteopm","Outside_Places"
"#allertameteosar","Outside_Places"
"#allertameteotos","Outside_Places"
"#allertameteotosâ","Outside_Places"
"#allertameteoven","Outside_Places"
"#allertametotos","Outside_Places"
"#allluvionecarrara","Outside_Places"
"#alluvionecâ","Outside_Places"
"#alluvionecarrara","Outside_Places"
"#alluvionechiavari","Outside_Places"
"#arcore","Outside_Places"
"#arquata","Outside_Places"
"#bassopiemonte","Outside_Places"
"#berlino","Outside_Places"
"#bozzano","Outside_Places"
"#brin","Outside_Places"
"#caprauna","Outside_Places"
"#carraâ","Outside_Places"
"#carrara","Outside_Places"
"#carrarasiribella","Outside_Places"
"#cina","Outside_Places"
"#corsica","Outside_Places"
"#costad'oneglia","Outside_Places"
"#isoladelba","Outside_Places"
"#jerusalem","Outside_Places"
"#laquila","Outside_Places"
"#lodi","Outside_Places"
"#lombardia","Outside_Places"
"#maltemporoma","Outside_Places"
"#maremma","Outside_Places"
"#massa","Outside_Places"
"#merano","Outside_Places"
"#milano","Outside_Places"
"#monaco","Outside_Places"
"#monregalese","Outside_Places"
"#ovada","Outside_Places"
"#parma","Outside_Places"
"#piemonte","Outside_Places"
"#pienapo","Outside_Places"
"#po","Outside_Places"
"#roma","Outside_Places"
"#rovare","Outside_Places"
"#seveso","Outside_Places"
"#ticino","Outside_Places"
"#torino","Outside_Places"
"#torsapienza","Outside_Places"
"#toscana","Outside_Places"
"#trentinriviera","Outside_Places"
"#trento","Outside_Places"
"#trovalitalia","Outside_Places"
