"authors_full","classe"
"ComunediGenova","Institution"
"ProtCivileGE","Institution"
"muoversintoscan","Institution"
"giovaniliguria","Institution"
"castelnuovom","Institution"
"parco5terre","Institution"
"italia_sicura","Institution"
"ComuneSpezia","Institution"
"GiornaleGiunta","Institution"
"ComunediCesate","Institution"
"MuseoBergallo","Institution"
"ProtCivGORIZIA","Institution"
"cesipcrosignano","Institution"
"CittadiCamogli","Institution"
"comunealassio","Institution"
"Ducale_Genova","Institution"
"InfogioGe","Institution"
"ParcoBeigua","Institution"
"portodigenova","Institution"
"ProCivTrezzanoR","Institution"
"UniGenova","Institution"
"AlbisolaT","Institution"
"comunedianom","Institution"
"ComuneMontelupo","Institution"
"crpiemonte","Institution"
"MuseoCeramicaSV","Institution"
"ParcoAlpiLiguri","Institution"
"parcoantola","Institution"
"parcoappennino","Institution"
"PCProvAL","Institution"
"UGLVIGILFUOCO","Institution"
"raffaellapaita","Institution"
"CanaleLunense","Institution"
"visit_riviera","Institution"
