"authors_full","classe"
"RadioPerusia","Media"
"primocanale","Media"
"ansa_liguria","Media"
"SML2020","Media"
"RadioBabboleo","Media"
"Genova4Tourist","Media"
"ITnewsGE","Media"
"giornaleprociv","Media"
"genova24it","Media"
"Protcivnews","Media"
"pianetagenoa","Media"
"ansa_lombardia","Media"
"LevanteNews_ITA","Media"
"ValbormidaTV","Media"
"BORGHETTOdiVARA","Media"
"ansa_lazio","Media"
"Cittadinireatti","Media"
"ansa_marche","Media"
"Newsinunclick","Media"
"fattodellunedi","Media"
"italia_24news","Media"
"meteolaigueglia","Media"
"MeteoTweet24","Media"
"quotidianopiem","Media"
"RadioBeckwith","Media"
"Liguria24News","Media"
"LaPolcevera","Media"
"MediasetTgcom24","Media"
"PiazzapulitaLA7","Media"
"ProNews_it","Media"
"CittadinidiTwtt","Media"
"discoradioIT","Media"
"GGiornalisti","Media"
"ilpiccolonews","Media"
"InfoTaluni","Media"
"la_stampa","Media"
"La7tv","Media"
"fattoquotidiano","Media"
"ilsegnonews","Media"
"LavoriPubblici","Media"
"newsroom24it","Media"
"PSopravvivenza","Media"
"socialcubiktv","Media"
"ultimenotizie","Media"
"AbbadiaNews","Media"
"Affaritaliani","Media"
"alto_adige","Media"
"Class_Tv","Media"
"gazzettaReggioE","Media"
"GlobalFloodNews","Media"
"ilmanifesto","Media"
"LiberaTV_Lazio","Media"
"nuovafinanza","Media"
"RadioFrequenzaT","Media"
"radioldc95","Media"
"radiopopmilano","Media"
"rep_genova","Media"
"social_mediaset","Media"
"socialchanneltv","Media"
"StudioAperto1","Media"
"GenovaUtile","Media"
"Promogenova","Media"
"infoblu_Genova","Media"
"savonadomani","Media"
