"authors_full","classe"
"Emergenza24","Volunteer_NGO"
"cisomgenova","Volunteer_NGO"
"bc_emergenza","Volunteer_NGO"
"Anpasnazionale","Volunteer_NGO"
"Emergenza24Pro","Volunteer_NGO"
"misepferraio","Volunteer_NGO"
"TSM_volontari","Volunteer_NGO"
"HR_italian","Volunteer_NGO"
"HumanityRoad","Volunteer_NGO"
"CABuscate","Volunteer_NGO"
"CroceBiancaGe","Volunteer_NGO"
"VAB_lombardia","Volunteer_NGO"
"Anpas_Sicilia","Volunteer_NGO"
"AvpaCastellana","Volunteer_NGO"
"crisislabtweet","Volunteer_NGO"
"ERAGenova","Volunteer_NGO"
"LeMisericordie","Volunteer_NGO"
"misericordie1","Volunteer_NGO"
"QDSoccorso","Volunteer_NGO"
"CAILaSpezia","Volunteer_NGO"
"CAILigure","Volunteer_NGO"
