"authors_full","classe"
"Ossmeteobargone","Weather"
"Quezzimeteo","Weather"
"Meteolanterna","Weather"
"meteogequinto","Weather"
"3BMeteo","Weather"
"AllertaMeteoLIG","Weather"
"riskiomap","Weather"
"AllertaMeteoIT","Weather"
"meteospeziacom","Weather"
"wwwmeteoit","Weather"
"classmeteo","Weather"
"davvedder","Weather"
"MeteoPortaleITA","Weather"
"MeteoRiviera","Weather"
"ReteMeteoAmator","Weather"
"LucaLombroso","Weather"
"amtoscana","Weather"
"Meteo4mori","Weather"
"PaoloLuimeteo","Weather"
"AllertaMeteoLG","Weather"
"DolomitiMeteo","Weather"
"meteoonlineit","Weather"
"unimeteo","Weather"
"RADIORMT","Weather"
"CMeteo","Weather"
"Meteo_Europe","Weather"
"meteoadri","Weather"
"meteocornella","Weather"
"MeteoLIMET","Weather"
"Meteopremia","Weather"
"Meteosestola","Weather"
"MeteoSvizzera","Weather"
"meteoverici","Weather"
"RemaMeteo","Weather"
