"author_full","classe"
"quotidianopiem","Media"
"diAlessandria","Media"
"ilVergante","Media"
"RadioPerusia","Media"
"giornaleprociv","Media"
"discoradioIT","Media"
"blogalessandria","Media"
"Protcivnews","Media"
"QCanavese","Media"
"RadioBeckwith","Media"
"UnioneMregalese","Media"
"branotizie","Media"
"ITnewsCN","Media"
"telesu_tv","Media"
"lanuovagazzetta","Media"
"Cittadinireatti","Media"
"italia_24news","Media"
"LaRiStampa2014","Media"
"Reportermilano","Media"
"SML2020","Media"
"AlessandriaNews","Media"
"BLOGRADIOTV","Media"
"BORGHETTOdiVARA","Media"
"CorriereChieri","Media"
"gNellerba","Media"
"ilTorineseNews","Media"
"InformAzioneRed","Media"
"LevanteNews_ITA","Media"
"Liguria24News","Media"
"newsTorino","Media"
"nuovafinanza","Media"
"QuiNewsMassaCar","Media"
"RadioGoldAl","Media"
"radiopnr","Media"
"RTscienza","Media"
"Uff_StampaCFE","Media"
"ultimenotizie","Media"
