"keywords","classes"
"#a2","Emergency"
"#allagamenti","Emergency"
"#allagamentielba","Emergency"
"#allagamento","Emergency"
"#allerta","Emergency"
"#allertamentelig","Emergency"
"#allertameteo","Emergency"
"#allertameteoer","Emergency"
"#allertameteolaz","Emergency"
"#allertameteolig","Emergency"
"#allertameteolom","Emergency"
"#allertameteopie","Emergency"
"#allertameteopm","Emergency"
"#allertameteorm","Emergency"
"#allertameteosar","Emergency"
"#allertameteosic","Emergency"
"#allertameteoven","Emergency"
"#allertemeteo","Emergency"
"#alluvione","Emergency"
"#alluvionecarrara","Emergency"
"#alluvionetos","Emergency"
"#alluvioni","Emergency"
"#arancio","Emergency"
"#chiavariallagata","Emergency"
"#criticit","Emergency"
"#elbaallagata","Emergency"
"#evacuazioni","Emergency"
"#pienapo","Emergency"
"#protezionecivile","Emergency"
"#smem","Emergency"
"#socialprociv","Emergency"
"#vigilanzameteotos","Emergency"
"#zonarossa","Emergency"
"#allertameteoTOS","Emergency"
