"keywords","classes"
"#cronacameteo","Weather"
"#frana","Weather"
"#fulmine","Weather"
"#maltempo","Weather"
"#maltempotos","Weather"
"#mare","Weather"
"#mareggiate","Weather"
"#meteo","Weather"
"#meteovaldarno","Weather"
"#nubifragio","Weather"
"#perturbazione","Weather"
"#piena","Weather"
"#piogge","Weather"
"#pioggia","Weather"
"#piove","Weather"
"#temporale","Weather"
"#temporali","Weather"
"#vento","Weather"
"#ventoforte","Weather"
"#vigilanza","Weather"
"#vigilanzameteotos","Weather"
"#wikiclima","Weather"
