"authors_full","classe"
"muoversintoscan","Institution"
"cesipcrosignano","Institution"
"ProtCMontignoso","Institution"
"SalaOp","Institution"
"ProvinciaMS","Institution"
"Prov_FI_PC","Institution"
"Prociv_Mont","Institution"
"ProCivSeravezza","Institution"
"ComuneRioElba","Institution"
"ProtCivComuneFi","Institution"
"montevarchi","Institution"
"ComuneRosignano","Institution"
"Comune_Pistoia","Institution"
"EmpoliValdelsa","Institution"
"ComuneCamaiore","Institution"
"italia_sicura","Institution"
"TwitAltopascio","Institution"
"ProCivComunePi","Institution"
"ComunediPelago","Institution"
"ConsorziUrbat","Institution"
"turismomaremma","Institution"
"comCavriglia","Institution"
"ComuneEmpoli","Institution"
"comunefi","Institution"
"ComuneMontelupo","Institution"
"ComunediGenova","Institution"
"ComuneOrbetello","Institution"
"ComuneVolterra","Institution"
"H24valdicecina","Institution"
"ProtCivileCG","Institution"
"ProtcivIolo","Institution"
"protcivsestofi","Institution"
"rossipresidente","Institution"
"SindacoAulla","Institution"

