"author_full","classe"
"iltirreno","Media"
"RadioPerusia","Media"
"Protcivnews","Media"
"toscanamedianew","Media"
"TirrenoVersilia","Media"
"giornaleprociv","Media"
"intoscana","Media"
"agenziaimpress","Media"
"qn_lanazione","Media"
"lapaginaQ","Media"
"ansa_liguria","Media"
"CastelloNews","Media"
"ContattoRadio","Media"
"IlTirrenoElba","Media"
"CittadinidiTwtt","Media"
"NoiTv","Media"
"ansa_lombardia","Media"
"ansa_marche","Media"
"IlTirrenoPrato","Media"
"Toscana24News","Media"
"TTNews24","Media"
"italia_24news","Media"
"QuiNewsVolterra","Media"
"TirrenoLivorno","Media"
"TirrenoProvPisa","Media"
"YouReporter","Media"
"50canalenews","Media"
"AbbadiaNews","Media"
"amiatanews","Media"
"ansa_lazio","Media"
"controradio","Media"
"corrierefirenze","Media"
"FirenzePost","Media"
"gonews_it","Media"
"ilGiunco","Media"
"IlTirrenoEmpoli","Media"
"IlTirrenoPisa","Media"
"LaValdichiana","Media"
"maremmanews","Media"
"PisaToday","Media"
"QuiGrosseto","Media"
"QuiNewsElba","Media"
"RadioBabboleo","Media"
"RadioSubasio","Media"
"RDF102e7","Media"
"reteversilia","Media"
"rmc_official","Media"
"toscananotizie","Media"
"LavoriPubblici","Media"

