"authors_full","classe"
"misepferraio","Volunteer_NGO"
"MiseSPPalazzi","Volunteer_NGO"
"Emergenza24Pro","Volunteer_NGO"
"Anpasnazionale","Volunteer_NGO"
"cisomgenova","Volunteer_NGO"
"MiseCampi","Volunteer_NGO"
"racchetta1904","Volunteer_NGO"
"racchetta26","Volunteer_NGO"
"vabtoscana","Volunteer_NGO"
"bc_emergenza","Volunteer_NGO"
"crisangiovanni","Volunteer_NGO"
"crislomb","Volunteer_NGO"
"PubAssSigna","Volunteer_NGO"
"AnpasToscana","Volunteer_NGO"
"Cesvot","Volunteer_NGO"
"crocegiallafalc","Volunteer_NGO"
"Emergenza24","Volunteer_NGO"
"MisEmpoli","Volunteer_NGO"
"misericordie1","Volunteer_NGO"
"PASiena","Volunteer_NGO"
